booth,name,am,bme,chem,civ,ce,cs,ee,enve,ie,made,mse,mech,non,ms,phd,fte,coop,intern,intl,description
53,Metropolitan Water Reclamation District of Greater Chicago,,,1,1,,,1,1,,,,,,1,1,1,,,,"The District\u2019s seven modern water reclamation plants provide excellent treatment for residential and industrial wastewater, meeting permitted discharge limits virtually at all times. The treatment process is protected by a pretreatment program to guard against hazardous substances and toxic chemicals. These are strictly regulated pursuant to federal and state requirements. The District routinely monitors all industries and non-residential sources to assure that wastes are disposed of in an environmentally responsible and lawful manner. \r\n
Treated wastewater, along with runoff from rainfall, enters local canals, rivers and streams that serve as headwaters of the Illinois River system. Stormwater in the separate sewered area is controlled to reduce flood damages by a number of stormwater detention reservoirs. In the combined sewer area, the District\u2019s tunnel and reservoir project has significantly reduced basement backup and overflows to local waterways. \r\n
Flow within the District\u2019s waterway system and the Lake Michigan discretionary diversion flow are controlled by three inlet structures on Lake Michigan: Wilmette Pumping Station, Chicago River Controlling Works and O\u2019Brien Lock and Dam. The single outlet control structure is the Lockport Powerhouse and Controlling Works. \r\n
While exercising no direct control over wastewater collection systems owned and maintained by cities, villages, sewer districts and utilities, the District does control municipal sewer construction by permits outside the city of Chicago. It also owns a network of intercepting sewers to convey wastewater from the local collection systems to the water reclamation plants.\r\n"
46,Microsoft,,,,,1,1,1,,,,,,,1,1,1,,1,1,"No matter what your passion is, you\u2019ll find it here. Imagine the opportunities you\u2019ll have in a company with 127,000 employees in more than 100 countries, working on hundreds of products\u2014spanning games, phones, developer tools, business solutions and operating systems. We work hard, but we value work\/life balance, and each of us defines what that means to us. So why not explore what we do, where we do it, and what life is really like at Microsoft. You just might be surprised.\r\n"
6,"Motorola Solutions, Inc",,,,,1,1,1,,,,,1,,1,,1,,1,,"Motorola Solutions, Inc. (www.motorolasolutions.com), provides mission-critical communications products and services to enterprises and governments around the world. Our innovations, products, and services play essential roles in people\'s lives. \r\n
We help firefighters see around buildings and police officers see around street corners. \r\n
We make supply chains visible to retailers and entire power grids visible to utility workers. \r\n
We provide the situational awareness first responders need when a moment brings catastrophe. \r\n
And we help companies deliver shipments at the moment they\u2019re promised. \r\n
We do this by connecting them to seamless communication networks, applications and services, by providing them with real-time information, and by arming them with intuitive, nearly indestructible handheld devices. Motorola Solutions helps people be their best in the moments that matter. Learn more at www.motorolasolutions.com \r\n"
54,MPC,,,,,,,,,1,,,1,,,,1,1,1,,"How often do you get the chance to work for a company that empowers you to reach your full potential? One where a true entrepreneurial spirit thrives? We invite you to take a closer look at MPC. When you do, we are confident you will see your future right here with us. \r\n
Bring your talent and passion, and we\u2019ll supply you with the resources and experience of one of the most successful family owned organizations headquartered in Wisconsin, with a new World Class Manufacturing site in Morrison, TN. Embark on a career journey that makes your professional aspirations paramount. When you choose to pursue your future with MPC, you\u2019ll discover an organization committed to turning your innovative ideas into solutions. This means being part of a team that\u2019s developing components for engines that are cleaner, lighter and more efficient. Doing work that points the world in the direction of sustainability and responsibility. All with the leadership development and growth opportunities you need to achieve a level of success worthy of your skills. \r\n
MPC is committed to recruiting a diverse workforce and building great careers. We actively seek out the best talent at colleges and universities, and we work closely with professional diversity organizations. Our unique products, commitment to quality and trailblazing innovations make MPC an employer of choice.\r\n"
62,Northwestern Mutual,,,,,1,1,,,,,,,,1,,,,1,,"For more than 155 years, Northwestern Mutual has been helping its clients achieve financial security. Headquartered in Milwaukee, Wisconsin, Northwestern Mutual has nearly 4 million policyowners and investment clients and continues as the leading U.S. company in total life insurance dividends paid to policyowners. The firm ranks among the \""World\u2019s Most Admired\"" life insurance companies, according to FORTUNE\u00AE magazine\u2019s 2013 annual survey. For the seventh consecutive year, Northwestern Mutual has also been recognized among the \""Best Places to Work in IT\"" as a top workplace for information technology (IT) professionals, according to IDG\'s Computerworld, the leading source of technology news and information for IT influencers worldwide. \r\n
Internship Program Overview: Interns participate in a 12-week program within the firm\u2019s Operations & Technology business function. Program objectives provide the student with hands-on experience through teamwork and collaboration, as well as individual work assignments. Interns participate in a wide range of learning and development activities including job shadows, attending various speaking engagements and events designed to expose interns to other areas of the firm. Working in teams, interns collaborate with each other on assigned case studies, to be presented at the conclusion of the internship program. Interns also have an opportunity to network with senior leaders across the firm, attend various social and work-sponsored events and are also encouraged to engage in team volunteer opportunities within the community.\r\n"
14,Orbitz Worldwide,,,,,1,1,1,,,,,,,1,,1,,,1,"Orbitz Worldwide is an ecommerce market leader in travel and online technology. We provide customers with the ability to book a wide array of travel products and services from suppliers worldwide, including air travel, hotels, vacation packages, car rentals, cruises, rail tickets, travel insurance and destination services such as ground transportation, event tickets and tours Global consumer brands includes include Orbitz.com, Cheaptickets.com, ebookers.com and Hotelclub.com. We serve corporate business customers through Orbitz for Business and offer private label solutions to a broad range of travel partners. In 2013, Orbitz Worldwide had approximately $11B in Gross Bookings, $850MM in revenue and $145MM in Adj. EBITDA. \r\n
Orbitz Worldwide is also a recognized leader in the mobile channel. In the 2013 edition of the Internet Retailer Mobile 400 (released in October 2012), Orbitz.com was the highest ranked travel company, positioned #4 overall behind only Amazon, Apple and Marriott (vs. #12 in the prior year). In December 2012 the Orbitz App for iPhone was one of 13 apps inducted into Apple\'s App Store Hall of Fame, making it one of only 48 iPhone Apps ever to receive such recognition, out of over 900,000 in the App Store. \r\n
We are looking for smart and talented individuals who want to join a fast paced team. We offer excellent opportunities for leadership, creativity and personal growth and because of our innovative approach to travel, fun work environment and incredible career opportunities, in 2014 we were voted by Glassdoor to the top 10 list for the best places to work in America!\r\n"
48,Pariveda Solutions,1,,,,1,1,,,,,,,,,,1,,,,"We are an IT consulting company that grows and deploys talented people to solve the technical and strategic challenges of our clients. We deliver both strategic consulting services and technical solutions, especially those \""at the edge,\"" where systems interface with people and with other systems. We call this \""Delivering at the Edge(SM)\"", delivering business value through creative solutions at the edge of innovative technology. We work with our clients to select the right approach - developing a custom application, creating a business systems plan, leveraging a platform like SharePoint, or whatever the situation calls for \u2013 and to implement it quickly and effectively.\r\n"
32,PepsiCo,1,,,,1,1,,,1,,,,,1,,,,1,,"Our Mission and Vision: At PepsiCo, we believe being a responsible corporate citizen is not only the right thing to do, but the right thing to do for our business. \r\n
Our Mission : Our mission is to be the world\'s premier consumer products company focused on convenient foods and beverages. We seek to produce financial rewards to investors as we provide opportunities for growth and enrichment to our employees, our business partners and the communities in which we operate. And in everything we do, we strive for honesty, fairness and integrity. \r\n
Our Vision: \""PepsiCo\'s responsibility is to continually improve all aspects of the world in which we operate - environment, social, economic - creating a better tomorrow than today.\"" \r\n
Our vision is put into action through programs and a focus on environmental stewardship, activities to benefit society, and a commitment to build shareholder value by making PepsiCo a truly sustainable company. \r\n
Performance with Purpose: At PepsiCo, we\'re committed to achieving business and financial success while leaving a positive imprint on society - delivering what we call Performance with Purpose. \r\n
Our approach to superior financial performance is straightforward - drive shareholder value. By addressing social and environmental issues, we also deliver on our purpose agenda, which consists of human, environmental, and talent sustainability.\r\n"
40,"Pratt & Whitney, division of United Technologies Corporation",,,,,,,,,1,1,1,1,,,,1,,,,"Pratt & Whitney, a United Technologies Corp. company (NYSE:UTX), is a world leader in the design, manufacture and service of aircraft engines and auxiliary power units. \r\n
We reported an operating pro\uFB01t of $1.9 billion in 2013 on revenues of \r\n
$14.5 billion. Our company has approximately 31,500 employees who support more than 11,000 customers around the world. \r\n
Frederick Rentschler founded Pratt & Whitney in Hartford, Connecticut, in 1925. Our \uFB01rst aircraft engine transformed the aviation industry. It was the 410-horsepower, air\u00ACcooled Wasp, which delivered unprecedented performance and reliability for the time. We have been leading change ever since. \r\n
Today, Pratt & Whitney develops game-changing technologies for the future, such as the PurePower\u00AE PW1000G engine, with patented Geared Turbofan engine technology. The company\'s worldwide large commercial engine maintenance, repair and overhaul network provides innovative services that add value and delight customers around the globe. \r\n
Pratt & Whitney\'s large commercial engines power more than 25 percent of the world\'s mainline passenger fleet. The company continues to develop new engines and work with its partners in International Aero Engines and the Engine Alliance to meet airline customers\' future needs. \r\n
Pratt & Whitney has built a long and distinguished record of providing top-of-the-line military engines to 29 armed forces around the world. Our engines power front line fighters, such as the F-15 Eagle, F-16 Fighting Falcon, F-22 Raptor and F-35 Lightning II, as well as the C-17 Globemaster III military transport and Boeing\'s KC-46 Tanker.\r\n"
7,Procter & Gamble,,,1,,,,,,,1,1,1,,1,1,1,1,1,,"The simple, inspiring way to think about this opportunity is that P&G brands serve about 4.4 billion of the nearly seven billion people on the planet today. Before P&G can serve the world\'s remaining consumers profitably, we can reach them altruistically. We can improve their lives in ways that enable them to thrive, to increase their quality of living and, over time, to join the population of consumers we serve with P&G brands. Through our overall Live, Learn & Thrive\u2122 cause program, initiatives such as Children\u2019s Safe Drinking Water and Pampers 1 Pack = 1 Vaccine are examples of how we are improving the lives of millions of people every day. \r\n
Our shared Purpose attracts and unites an extraordinary group of people, P&Gers, around the world\u2014the most diverse workforce in P&G history. Together, we represent around 145 nationalities. Our recruiting and development philosophy to \""build from within\"" fosters a strong culture of trust and shared experiences. Our diversity, our shared culture and our unified Purpose are the defining elements that enable P&G to touch lives and improve life every day.\r\n"
35,Quantcast,,,,,1,1,1,,,,,,,1,1,1,,1,1,"Quantcast is a digital advertising company specialized in audience measurement and real-time advertising. As the pioneer of direct audience measurement in 2006, Quantcast has today the most in-depth understanding of digital audiences across the web, allowing marketers and publishers to make the smartest choices as they buy and sell the most effective targeted advertising on the market. Quantcast is dedicated to making display as relevant and effective as search, and currently delivers outstanding advertising campaigns for the world\'s leading\'s advertisers and publishers and brings accurate audience measurement to over 100 million web destinations.\r\n"
28,Sabic,,,1,1,,,1,1,,,1,,,,,,1,,,"At SABIC, we get how business works and what brings sustained growth and market leadership. Our ultimate goal is to power our customers competitive advantage for the long term. \r\n
It is from a deep understanding of our customers commercial ambitions that we challenge the status quo \u2013 working relentlessly to deliver on that challenge. \r\n
We seek the best and the brightest employees throughout the world to become part of our vision. \r\n
You are ambitious and talented. You are looking for a career that will equip you to make the best of your strengths, both personally and professionally. That is why we are pleased you are visiting our careers website. \r\n
Saudi Basic Industries Corporation \u2013 SABIC \u2013 is a highly successful, rapidly expanding global manufacturer of chemicals, fertilizers, metals and plastics. We are as ambitious as you are and we have the track record to match. SABIC prides itself on its world class expertise and technology, its ability to create specific solutions to meet individual customers circumstances and needs, its global reach and product depth, and commitment to a sustainable future. \r\n
We intend to be the preferred world leader in chemicals. To achieve our vision, we need to attract, develop and retain dedicated people of your caliber. \r\n
That is why this is the perfect time to build our futures together. Our comprehensive training and development programs are among the best in the petrochemical industry. Our pay and reward packages are always competitive and we offer you career opportunities in a diversity of disciplines and locations worldwide. \r\n
Choosing an employer is among the most important choices you will ever make.\r\n"
31,"Siemens Medical Solutions, Inc.",,,,,1,1,1,,,1,,1,,1,,,1,1,,"Siemens Healthcare is a supplier to the healthcare industry.  It is also a global powerhouse in the fields of electrification, automation and digitalization and for healthcare solutions. \r\n"
39,Solstice Mobile,,,,,,1,,,,,,,,,,,,,,"Founded in 2001, Solstice Mobile is a Chicago-based, mobile technology consulting firm focused on helping enterprises embrace mobility in the post-pc era. We tackle enterprise mobility holistically: from sound strategy services, to intuitive app design, development and testing services, to hardened security and infrastructure services. Solstice positions itself 12-18 months ahead of the enterprise mobile technology adoption curve; researching and testing new enterprise products and technologies through our mobile app development studio, Bottega Sol. In this quickly evolving market, this research allows Solstice to provide the knowledge and expertise to help organizations make the right decisions and build the best solutions. \r\n
Solstice\u2019s main competitive advantage has always been its people. Solstice sponsors local MeetUps across different areas of mobile technology, allowing us to find and recruit the most passionate technologists in the Chicagoland area. Our consultants then turn around and share their passion and knowledge with others through social media channels. Every senior consultant on staff has an active blog, providing the mobile community with a steady stream of education and knowledge.\r\n"
42,"TekLink International, Inc.",1,1,1,,1,1,1,,1,1,,1,,1,,1,,,,"TekLink International, Inc. headquartered in Naperville, IL, is a leading implementer and thought leader of SAP Business Intelligence and EPM solutions for many fortune 500 companies. TekLink consultants are internationally recognized experts having deep industry knowledge combined with years of SAP implementation experience. Our expertise crosses many industries, including Consumer Products, Pharmaceuticals, Manufacturing & Distribution, Automotive, Utilities and High Tech. \r\n
Over the last eight years, TekLink has attained double digit growth and an increase in global recognition. Our customer loyalty and success is attributable to our approach and our \""Once a client, always a client\"" philosophy. We provide cost effective solutions from India as part of our offshore office based in Hyderabad, India, along with our Asia Pacific offices in Melbourne, Australia.\r\n"
18,The Boeing Company,,,,1,1,,1,1,1,1,1,1,,,,1,,1,,"Boeing is the world\'s leading aerospace company and the largest manufacturer of commercial jetliners and military aircraft combined. Additionally, Boeing designs and manufactures rotorcraft, electronic and defense systems, missiles, satellites, launch vehicles and advanced information and communication systems. As a major service provider to NASA, Boeing is the prime contractor for the International Space Station. The company also provides numerous military and commercial airline support services. Boeing provides products and support services to customers in 150 countries and is one of the largest U.S. exporters in terms of sales. \r\n
Boeing has a long tradition of aerospace leadership and innovation. We continue to expand our product line and services to meet emerging customer needs. Our broad range of capabilities includes creating new, more efficient members of our commercial airplane family; integrating military platforms, defense systems and the warfighter through network-centric operations; creating advanced technology solutions that reach across business units; e-enabling airplanes and providing connectivity on moving platforms; and arranging financing solutions for our customers. \r\n
Headquartered in Chicago, Boeing employs more than 170,000 people across the United States and in 70 countries. This represents one of the most diverse, talented and innovative workforces anywhere. More than 140,000 of our people hold college degrees--including nearly 35,000 advanced degrees--in virtually every business and technical field from approximately 2,700 colleges and universities worldwide. Our enterprise also leverages the talents of hundreds of thousands more skilled people working for Boeing suppliers worldwide.\r\n"
52,The Nielsen Company,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,,"Founded in 1923, Nielsen is the global authority on the consumer. We help over 20,000 clients, from Coca-Cola to Walmart to Apple to Disney, in 105 countries understand consumers and grow their businesses, every day. \r\n
Nielsen\u2019s business is organized into two areas: What Consumers Watch, serving media, telecom and tech industries; and What Consumers Buy, serving consumer goods, retail, financial services and automotive industries. \r\n
Nielsen went public in 2011 and joined the S&P 500 in 2013. \r\n
We have opportunities in our Professional Services Analytics Program (consulting for our Buy business clients) as well as our four Emerging Leaders Programs: Watch, Human Resources, Finance, and Global Business Services (GBS).\r\n"
25,ThoughtWorks,,,,,1,1,,,,,,,,,,1,,,,"Meet ThoughtWorks. We\u2019re a global IT consultancy with 1,800 (and growing) technology enthusiasts throughout the US, Canada, India, UK, Australia, China, Brazil, Germany, and most recently, South Africa. Our mission is simple: to maximize value to our clients through our technological expertise. We do this by providing Global 1000 companies with Agile-based systems development, consulting and transformation services. We\u2019ve taken on everything from designing major retail websites to performing backend system upgrades to creating donation sites for disaster relief organizations. Our work is complex and challenging; we meet tight deadlines, utilize exciting technologies, and hop on a whole lot of airplanes. Our unconventional approach has earned us a reputation for having some of the industry\u2019s most respected technical thinkers and leaders.\r\n"
51,U.S. Navy,1,1,1,1,1,1,1,,1,1,1,1,,1,,1,,1,,"From the high-tech to the high-growth to the awe-inspiring, the US Navy offers careers and jobs that fit all backgrounds and interests. There are many distinct professional roles in dozens of exciting fields. And whether you\u2019re seeking a position as a nuclear propulsion officer on a submarine or aircraft carrier, surface warfare officer navigating our ships, pilot, navy flight officer, construction engineer or manager, a Navy Physician or a Navy SEAL, you\u2019ll find unrivaled training and unequalled experience in a career of your dreams. \r\n
Planning and carrying out important construction projects around the globe. Overseeing key capabilities and personnel on some of the world\u2019s most advanced ships. Developing expertise in everything from engines to weapons guidance systems to weather patterns. The thinkers and doers involved in the Engineering and Applied Science communities of America\u2019s Navy take on a broad range of professional challenges. Gaining experience on a scale beyond what the private sector typically provides.\r\n"
47,"Wolverine Trading , LLC",,,,,,1,,,,,,,,1,,,,1,,"Founded in 1994, Wolverine is a diversified financial institution specializing in proprietary trading, asset management, order execution services, and technology solutions. We are recognized as a market leader in derivatives valuation, trading, and value-added order execution across global equity, options, and futures markets. With a focus on innovation, achievement, and integrity, we take pride in serving the interests of both our clients and colleagues. Wolverine is headquartered in Chicago with offices in New York and San Francisco and a proprietary trading affiliate office located in London.\r\n"
29,Woodward,,,,,1,1,1,,1,1,,1,,,,,,1,,"Woodward is an independent designer, manufacturer, and service provider of control solutions for the aerospace and energy markets. Our aerospace systems and components optimize the performance of fixed wing and rotorcraft platforms in commercial, business and military aircraft, ground vehicles and other equipment. Our energy-related systems and components enhance the performance of industrial gas and steam turbines, reciprocating engines, compressors, wind turbines, electrical grids and other energy-related industrial equipment. The company\u2019s innovative fluid energy, combustion control, electrical energy, and motion control systems help customers offer cleaner, more reliable and more efficient equipment. Our customers include leading original equipment manufacturers and end users of their products. \r\n
We are proud to be an EEO\/AA employer M\/F\/D\/V. We maintain a drug-free workplace and perform pre-employment substance abuse testing.\r\n"
21,Zebra Technologies Corporation,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,"Zebra Technologies Corporation (NASDAQ: ZBRA) provides the broadest range of innovative technology solutions to give a \""digital voice\"" to physical assets. Our extensive portfolio includes bar code, receipt, card, kiosk, and RFID printers and supplies, as well as real-time location solutions. Zebra\u2019s enabling technologies extend visibility into company operations for more powerful business intelligence.\r\n"
