booth,name,am,bme,chem,civ,ce,cs,ee,enve,ie,made,mse,mech,non,ms,phd,fte,coop,intern,intl,description
57,CME Group,,,,,1,1,,,,,,,,,,1,,,,"CME Group is the world\'s largest and most diverse derivatives marketplace. Building on the heritage of CME, CBOT, NYMEX and COMEX, CME Group serves the risk management needs of customers around the globe. We provide the widest range of benchmark futures and options products available on any exchange, covering all major asset classes. Our collective vision is one of ongoing global growth, innovative product development, continually enhanced technology and the highest level of service available on any exchange.\r\n"
24,Discover Financial Services,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,"Discover Financial Services is a Direct Banking and Payments company offering credit cards, banking products, loans and payment services. \r\n"
50,Enova,1,,,,1,1,,,1,,,,,1,1,1,,1,,"As a global financial service provider, Enova offers a variety of online credit products to people all over the world including: \r\n
\u25A0United States \r\n
\u25A0United Kingdom \r\n
\u25A0Australia \r\n
\u25A0Canada \r\n
\u25A0Mexico \r\n
Discover what makes us a global leader in online financial services \u2014 not to mention a fun, challenging and unique place to work for over 800 employees in Chicago.\r\n"
34,Epic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,"As a worldwide leader in the development of software for healthcare organizations, Epic is driving change for an entire industry \u2013 one that affects the quality of life for everyone. Our team works with some of the nation\u2019s most respected healthcare organizations and collaborates with the best minds in medicine. The challenges we tackle on a day-to-day basis impact the lives of more than 172 million patients worldwide and 279,000 providers in the US alone, and we\u2019re committed to the common goal of improving healthcare. We\'re searching for smart, passionate people who want to achieve great things. If you want to be part of something truly important, consider a career at Epic.\r\n"
20,ExxonMobil,,,1,,,,,,,,,1,,1,1,1,1,,1,"We are the world\'s largest publicly traded international oil and gas company, providing energy that helps underpin growing economies and improve living standards around the world.  They hold an industry-leading inventory of global oil and gas resources.  They are the world\u2019s largest refiner and marketer of petroleum products, and our chemical company ranks among the world\u2019s largest. \r\n"
36,Ford Motor Company,,,,,1,1,1,,,1,,1,,1,,1,,1,,"Ford Motor Company, based in Dearborn, Mich., designs and manufactures cars and trucks, with about 166,000 employees at 70 manufacturing plants plus engineering centers in Michigan, Germany, UK, Brazil, China, Turkey, Australia, Mexico, and Brazil.  Ford is a multinational automaker.  Ford shows its commitment to innovation throughout their vehicle lineup in outstanding efficiency, head-turning style and customer-focused technology.  \r\n
Information Technology: Computer Science\/Engineering, Electrical Engineering, and related degrees \r\n
Product Development: Mechanical Engineering, Electrical Engineering, and related degrees. \r\n
Students graduating by June 2015 will be considered for full time positions. Most positions are in Ford\'s College Graduate (FCG) program, a series of rotating assignments designed to train our future leaders. \r\n
Most intern positions limited to students graduating by June 2016. \r\n
Candidates must be eligible to work full-time in the United States without visa sponsorship.\r\n"
45,Fresenius Kabi,,1,,,1,1,,,,,,1,,,,,1,,,"Fresenius Kabi is a leading global health care company that focuses on medicines and medical devices used to care for critically and chronically ill patients.  Our products include intravenous specialty and generic medicines, infusion therapies, blood-transfusion technologies and clinical nutrition.  Our roots go back more than 100 years to the founding of our parent company, Fresenius SE, in Bad Homburg, Germany, where the company is headquartered today. In the United States, Fresenius Kabi offers a broad portfolio of specialty and generic pharmaceuticals under the APP brand. \r\n
In 2012, Fresenius Kabi acquired Fenwal Inc. (www.fenwalinc.com), expanding the Fresenius Kabi portfolio to include Fenwal products for transfusion medicine.  These include advanced medical technologies used in blood separation, collection, filtration, storage and transfusion. Fenwal, Inc., a Fresenius Kabi company, is a global blood technology company dedicated to supporting transfusion medicine and cell therapies.  We help ensure the availability, safety, and effectiveness of treatments that depend on blood \u2013 medicine\u2019s most vital natural resource. \r\n"
58,GAF,,,1,,,,1,,,,1,1,,,,,1,,,"GAF, founded in 1886, is a $3 billion company with 3,200 employees and is a leader in the building materials industry. As America\'s largest roofing manufacturer, GAF has built a strong and solid product and customer franchise driven by continuous product innovation and through finding ways to better serve and connect with its customers. The residential roofing line is sold under the GAF brand and commercial roofing is sold under the GAF brand. The company also has other offerings in high quality products including decking, railings, ductwork, and specialty fabrics. GAF has sustained a strong financial and operating performance over the past several years, driven from its leading capabilities, strong culture, and a business that is only partly dependent on economic cycles in the construction industry. \r\n
Labeled the best in quality and most-recommended by our customers, GAF believes that employees remain our greatest strength and best competitive advantage. Build your future as we build the American dream one roof at a time.\r\n"
10,General Dynamics Electric Boat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,"General Dynamics is the world\u2019s foremost designer and builder of nuclear submarines, the most complex machines made by man. The company\u2019s industry leadership extends back over a century to 1899 when it produced the U.S. Navy\'s first commissioned undersea warship. Today, Electric Boat prides itself on being the premier shipbuilding company in the industry. We develop and apply state of the art technology to the design and construction of nuclear powered submarines. With a team of highly skilled and dedicated employees, we have successfully taken submarine technology to a new level. \r\n
General Dynamics Electric Boat is an Equal Employment Opportunity (EEO) employer.  It is the policy of the Company to provide equal employment opportunities to all qualified applicants without regard to race, color, religion, sex, national origin, age, protected veteran or disabled status.\r\n"
12,General Electric ,,1,,1,1,1,1,,1,,1,1,,1,,1,1,1,,"General Electric builds appliances, lighting, power systems and other products that help millions of homes, offices, factories and retail facilities around the world work much better.  GE powers the word with the cleanest, most advanced technologies and energy solutions.\r\n"
26,Goodyear Tire & Rubber Company,,,1,,,,1,,,,1,1,,1,,,1,1,,"Goodyear is one of the world\'s largest tire companies. A Fortune 150 company, we employ approximately 69,000 people and manufacture our products in 52 facilities in 22 countries. Goodyear was recently named as the world\'s most admired company in the motor vehicle parts sector by Fortune magazine. We have built our foundation on a commitment to forward-thinking innovation, and our industry-leading new product engine helps us bring new products to market that feature the latest advancements in materials and technologies. At Goodyear, we embrace the diversity of our workforce and value the contribution of our associates. We strive to provide associates with a safe work environment, the resources they need to do their jobs and ample opportunities for personal and professional growth. These objectives, coupled with competitive compensation and benefits, allow us to foster an environment where associates can work to achieve their full potential and contribute to the company\'s success. For more information, go to www.goodyear.com\/corporate.\r\n"
9,Google,,,,,1,1,1,,,,,,,1,1,1,,1,1,"Google\'s mission is to organize the world\'s information and make it universally accessible and useful. Google is a multinational corporation specializing in Internet-related services and products.  These include online advertising technologies, search, cloud computing and software. \r\n"
